"cogs","date","market","product_line","product","sales","state","total_expenses","type"
28,2012-01-01,"South","Leaves","Lemon",62,"New Mexico",30,"Decaf"
79,2012-01-01,"South","Leaves","Lemon",190,"Oklahoma",101,"Decaf"
105,2012-01-01,"West","Leaves","Chamomile",250,"Nevada",129,"Decaf"
36,2012-01-01,"West","Leaves","Chamomile",90,"Oregon",21,"Decaf"
38,2012-01-01,"West","Leaves","Chamomile",93,"Utah",34,"Decaf"
124,2012-01-01,"West","Leaves","Chamomile",310,"Washington",71,"Decaf"
144,2012-01-01,"West","Leaves","Lemon",345,"Nevada",90,"Decaf"
44,2012-01-01,"West","Leaves","Lemon",100,"Oregon",27,"Decaf"
48,2012-01-01,"West","Leaves","Lemon",120,"Utah",47,"Decaf"
34,2012-01-01,"West","Leaves","Lemon",85,"Washington",21,"Decaf"
95,2012-01-01,"West","Leaves","Mint",234,"Nevada",53,"Decaf"
228,2012-01-01,"Central","Leaves","Darjeeling",456,"Iowa",87,"Regular"
35,2012-01-01,"Central","Leaves","Darjeeling",82,"Missouri",38,"Regular"
61,2012-01-01,"Central","Leaves","Darjeeling",150,"Wisconsin",42,"Regular"
245,2012-01-01,"Central","Leaves","Earl Grey",546,"Iowa",126,"Regular"
75,2012-01-01,"Central","Leaves","Earl Grey",180,"Wisconsin",98,"Regular"
50,2012-01-01,"East","Leaves","Darjeeling",123,"Connecticut",26,"Regular"
18,2012-01-01,"East","Leaves","Darjeeling",45,"New Hampshire",17,"Regular"
38,2012-01-01,"East","Leaves","Green Tea",94,"Connecticut",21,"Regular"
17,2012-01-01,"East","Leaves","Green Tea",43,"New Hampshire",15,"Regular"
234,2012-01-01,"West","Leaves","Darjeeling",546,"Nevada",109,"Regular"
32,2012-01-01,"West","Leaves","Darjeeling",80,"Oregon",20,"Regular"
67,2012-01-01,"West","Leaves","Darjeeling",180,"Washington",43,"Regular"
228,2012-01-01,"West","Leaves","Earl Grey",456,"Nevada",87,"Regular"
84,2012-01-01,"West","Leaves","Earl Grey",210,"Oregon",58,"Regular"
35,2012-01-01,"West","Leaves","Earl Grey",82,"Utah",38,"Regular"
61,2012-01-01,"West","Leaves","Earl Grey",150,"Washington",41,"Regular"
84,2012-01-01,"West","Leaves","Green Tea",200,"Oregon",49,"Regular"
75,2012-01-01,"West","Leaves","Green Tea",180,"Washington",97,"Regular"
95,2012-02-01,"Central","Beans","Decaf Irish Cream",232,"Colorado",38,"Decaf"
104,2012-02-01,"Central","Beans","Decaf Irish Cream",254,"Illinois",55,"Decaf"
75,2012-02-01,"Central","Beans","Decaf Espresso",189,"Colorado",55,"Decaf"
228,2012-02-01,"Central","Beans","Decaf Espresso",457,"Illinois",87,"Decaf"
59,2012-02-01,"Central","Beans","Decaf Espresso",132,"Ohio",55,"Decaf"
86,2012-02-01,"East","Beans","Decaf Irish Cream",206,"Florida",49,"Decaf"
77,2012-02-01,"East","Beans","Decaf Espresso",180,"Florida",52,"Decaf"
83,2012-02-01,"South","Beans","Decaf Irish Cream",190,"Texas",39,"Decaf"
77,2012-02-01,"South","Beans","Decaf Espresso",189,"Texas",32,"Decaf"
234,2012-02-01,"West","Beans","Decaf Espresso",545,"California",109,"Decaf"
99,2012-02-01,"Central","Beans","Amaretto",243,"Colorado",39,"Regular"
60,2012-02-01,"Central","Beans","Amaretto",140,"Ohio",47,"Regular"
83,2012-02-01,"Central","Beans","Colombian",190,"Colorado",39,"Regular"
148,2012-02-01,"Central","Beans","Colombian",354,"Illinois",91,"Regular"
52,2012-02-01,"Central","Beans","Colombian",128,"Ohio",38,"Regular"
77,2012-02-01,"Central","Beans","Caffe Mocha",189,"Colorado",32,"Regular"
234,2012-02-01,"Central","Beans","Caffe Mocha",545,"Illinois",110,"Regular"
170,2012-02-01,"Central","Beans","Caffe Mocha",340,"Ohio",72,"Regular"
80,2012-02-01,"East","Beans","Colombian",200,"Florida",57,"Regular"
75,2012-02-01,"East","Beans","Colombian",470,"Massachusetts",55,"Regular"
258,2012-02-01,"East","Beans","Colombian",645,"New York",142,"Regular"
92,2012-02-01,"East","Beans","Caffe Mocha",220,"Florida",112,"Regular"
170,2012-02-01,"East","Beans","Regular Espresso",340,"Massachusetts",71,"Regular"
228,2012-02-01,"East","Beans","Regular Espresso",580,"New York",88,"Regular"
213,2012-02-01,"South","Beans","Colombian",465,"Texas",88,"Regular"
75,2012-02-01,"South","Beans","Caffe Latte",189,"Texas",56,"Regular"
99,2012-02-01,"South","Beans","Caffe Mocha",243,"Texas",38,"Regular"
258,2012-02-01,"West","Beans","Colombian",645,"California",142,"Regular"
228,2012-02-01,"West","Beans","Caffe Latte",457,"California",87,"Regular"
121,2012-02-01,"West","Beans","Caffe Mocha",290,"California",143,"Regular"
170,2012-02-01,"Central","Leaves","Chamomile",340,"Colorado",71,"Decaf"
99,2012-02-01,"Central","Leaves","Chamomile",243,"Illinois",39,"Decaf"
22,2012-02-01,"Central","Leaves","Chamomile",56,"Ohio",17,"Decaf"
83,2012-02-01,"Central","Leaves","Lemon",190,"Illinois",39,"Decaf"
32,2012-02-01,"Central","Leaves","Lemon",80,"Ohio",20,"Decaf"
60,2012-02-01,"Central","Leaves","Mint",140,"Colorado",47,"Decaf"
95,2012-02-01,"Central","Leaves","Mint",232,"Illinois",38,"Decaf"
48,2012-02-01,"East","Leaves","Chamomile",110,"Florida",28,"Decaf"
53,2012-02-01,"East","Leaves","Lemon",118,"Florida",53,"Decaf"
59,2012-02-01,"East","Leaves","Lemon",132,"Massachusetts",55,"Decaf"
240,2012-02-01,"East","Leaves","Lemon",495,"New York",124,"Decaf"
70,2012-02-01,"East","Leaves","Mint",154,"Florida",42,"Decaf"
60,2012-02-01,"South","Leaves","Chamomile",140,"Texas",47,"Decaf"
52,2012-02-01,"South","Leaves","Lemon",128,"Texas",38,"Decaf"
95,2012-02-01,"West","Leaves","Chamomile",232,"California",37,"Decaf"
213,2012-02-01,"West","Leaves","Lemon",465,"California",88,"Decaf"
83,2012-02-01,"West","Leaves","Mint",190,"California",39,"Decaf"
59,2012-02-01,"Central","Leaves","Darjeeling",132,"Colorado",55,"Regular"
77,2012-02-01,"Central","Leaves","Darjeeling",189,"Illinois",33,"Regular"
80,2012-02-01,"Central","Leaves","Darjeeling",200,"Ohio",58,"Regular"
62,2012-02-01,"Central","Leaves","Earl Grey",136,"Colorado",40,"Regular"
75,2012-02-01,"Central","Leaves","Earl Grey",189,"Illinois",55,"Regular"
86,2012-02-01,"Central","Leaves","Earl Grey",206,"Ohio",49,"Regular"
44,2012-02-01,"Central","Leaves","Green Tea",100,"Colorado",26,"Regular"
32,2012-02-01,"East","Leaves","Darjeeling",80,"Florida",20,"Regular"
32,2012-02-01,"East","Leaves","Darjeeling",80,"Massachusetts",20,"Regular"
95,2012-02-01,"East","Leaves","Darjeeling",232,"New York",37,"Regular"
99,2012-02-01,"East","Leaves","Earl Grey",243,"New York",39,"Regular"
47,2012-02-01,"East","Leaves","Green Tea",115,"Florida",24,"Regular"
22,2012-02-01,"East","Leaves","Green Tea",56,"Massachusetts",17,"Regular"
77,2012-02-01,"East","Leaves","Green Tea",189,"New York",33,"Regular"
99,2012-02-01,"West","Leaves","Darjeeling",243,"California",38,"Regular"
77,2012-02-01,"West","Leaves","Earl Grey",189,"California",32,"Regular"
75,2012-02-01,"West","Leaves","Green Tea",189,"California",56,"Regular"
23,2012-02-01,"Central","Beans","Decaf Irish Cream",54,"Iowa",19,"Decaf"
75,2012-02-01,"Central","Beans","Decaf Irish Cream",165,"Missouri",44,"Decaf"
77,2012-02-01,"Central","Beans","Decaf Irish Cream",180,"Wisconsin",53,"Decaf"
0,2012-02-01,"Central","Beans","Decaf Espresso",43,"Iowa",11,"Decaf"
42,2012-02-01,"Central","Beans","Decaf Espresso",103,"Missouri",23,"Decaf"
48,2012-02-01,"Central","Beans","Decaf Espresso",110,"Wisconsin",27,"Decaf"
55,2012-02-01,"East","Beans","Decaf Espresso",130,"Connecticut",46,"Decaf"
47,2012-02-01,"South","Beans","Decaf Irish Cream",115,"Louisiana",24,"Decaf"
32,2012-02-01,"South","Beans","Decaf Irish Cream",80,"Oklahoma",19,"Decaf"
56,2012-02-01,"South","Beans","Decaf Espresso",137,"Louisiana",40,"Decaf"
35,2012-02-01,"South","Beans","Decaf Espresso",82,"New Mexico",39,"Decaf"
80,2012-02-01,"South","Beans","Decaf Espresso",200,"Oklahoma",57,"Decaf"
28,2012-02-01,"West","Beans","Decaf Irish Cream",63,"Nevada",29,"Decaf"
52,2012-02-01,"West","Beans","Decaf Irish Cream",128,"Oregon",38,"Decaf"
86,2012-02-01,"West","Beans","Decaf Irish Cream",193,"Utah",66,"Decaf"
92,2012-02-01,"West","Beans","Decaf Irish Cream",220,"Washington",113,"Decaf"
19,2012-02-01,"West","Beans","Decaf Espresso",47,"Nevada",17,"Decaf"
170,2012-02-01,"West","Beans","Decaf Espresso",340,"Oregon",71,"Decaf"
50,2012-02-01,"West","Beans","Decaf Espresso",123,"Utah",25,"Decaf"
70,2012-02-01,"West","Beans","Decaf Espresso",154,"Washington",43,"Decaf"
18,2012-02-01,"Central","Beans","Amaretto",45,"Iowa",17,"Regular"
53,2012-02-01,"Central","Beans","Amaretto",118,"Wisconsin",53,"Regular"
28,2012-02-01,"Central","Beans","Colombian",63,"Iowa",29,"Regular"
86,2012-02-01,"Central","Beans","Colombian",193,"Missouri",65,"Regular"
92,2012-02-01,"Central","Beans","Colombian",220,"Wisconsin",113,"Regular"
19,2012-02-01,"Central","Beans","Caffe Mocha",47,"Iowa",17,"Regular"
50,2012-02-01,"Central","Beans","Caffe Mocha",123,"Missouri",25,"Regular"
70,2012-02-01,"Central","Beans","Caffe Mocha",154,"Wisconsin",42,"Regular"
41,2012-02-01,"East","Beans","Amaretto",101,"New Hampshire",35,"Regular"
130,2012-02-01,"East","Beans","Colombian",325,"Connecticut",74,"Regular"
45,2012-02-01,"East","Beans","Colombian",114,"New Hampshire",46,"Regular"
65,2012-02-01,"East","Beans","Caffe Mocha",155,"Connecticut",87,"Regular"
38,2012-02-01,"South","Beans","Colombian",94,"Louisiana",22,"Regular"
45,2012-02-01,"South","Beans","Colombian",114,"New Mexico",45,"Regular"
44,2012-02-01,"South","Beans","Colombian",100,"Oklahoma",27,"Regular"
65,2012-02-01,"South","Beans","Caffe Latte",155,"Louisiana",88,"Regular"
86,2012-02-01,"South","Beans","Caffe Latte",206,"Oklahoma",50,"Regular"
65,2012-02-01,"South","Beans","Caffe Mocha",174,"Louisiana",44,"Regular"
22,2012-02-01,"South","Beans","Caffe Mocha",56,"Oklahoma",17,"Regular"
75,2012-02-01,"West","Beans","Amaretto",165,"Utah",44,"Regular"
65,2012-02-01,"West","Beans","Colombian",155,"Oregon",65,"Regular"
55,2012-02-01,"West","Beans","Colombian",130,"Utah",45,"Regular"
58,2012-02-01,"West","Beans","Colombian",142,"Washington",40,"Regular"
0,2012-02-01,"West","Beans","Caffe Latte",43,"Nevada",12,"Regular"
59,2012-02-01,"West","Beans","Caffe Latte",132,"Oregon",55,"Regular"
42,2012-02-01,"West","Beans","Caffe Latte",103,"Utah",23,"Regular"
48,2012-02-01,"West","Beans","Caffe Latte",110,"Washington",27,"Regular"
18,2012-02-01,"West","Beans","Caffe Mocha",45,"Nevada",17,"Regular"
60,2012-02-01,"West","Beans","Caffe Mocha",140,"Oregon",47,"Regular"
49,2012-02-01,"West","Beans","Caffe Mocha",112,"Utah",28,"Regular"
53,2012-02-01,"West","Beans","Caffe Mocha",118,"Washington",53,"Regular"
234,2012-02-01,"Central","Leaves","Chamomile",545,"Iowa",110,"Decaf"
65,2012-02-01,"Central","Leaves","Chamomile",174,"Wisconsin",43,"Decaf"
104,2012-02-01,"Central","Leaves","Lemon",254,"Iowa",55,"Decaf"
47,2012-02-01,"Central","Leaves","Lemon",115,"Wisconsin",25,"Decaf"
86,2012-02-01,"East","Leaves","Lemon",193,"Connecticut",66,"Decaf"
75,2012-02-01,"East","Leaves","Mint",165,"Connecticut",44,"Decaf"
49,2012-02-01,"South","Leaves","Chamomile",112,"Louisiana",28,"Decaf"
18,2012-02-01,"South","Leaves","Chamomile",45,"New Mexico",17,"Decaf"
53,2012-02-01,"South","Leaves","Chamomile",118,"Oklahoma",54,"Decaf"
86,2012-02-01,"South","Leaves","Lemon",193,"Louisiana",65,"Decaf"
28,2012-02-01,"South","Leaves","Lemon",63,"New Mexico",30,"Decaf"
92,2012-02-01,"South","Leaves","Lemon",220,"Oklahoma",113,"Decaf"
121,2012-02-01,"West","Leaves","Chamomile",290,"Nevada",143,"Decaf"
33,2012-02-01,"West","Leaves","Chamomile",81,"Oregon",20,"Decaf"
41,2012-02-01,"West","Leaves","Chamomile",101,"Utah",36,"Decaf"
130,2012-02-01,"West","Leaves","Chamomile",325,"Washington",74,"Decaf"
148,2012-02-01,"West","Leaves","Lemon",354,"Nevada",91,"Decaf"
44,2012-02-01,"West","Leaves","Lemon",100,"Oregon",26,"Decaf"
45,2012-02-01,"West","Leaves","Lemon",114,"Utah",45,"Decaf"
38,2012-02-01,"West","Leaves","Lemon",94,"Washington",22,"Decaf"
104,2012-02-01,"West","Leaves","Mint",254,"Nevada",56,"Decaf"
228,2012-02-01,"Central","Leaves","Darjeeling",457,"Iowa",88,"Regular"
35,2012-02-01,"Central","Leaves","Darjeeling",82,"Missouri",38,"Regular"
56,2012-02-01,"Central","Leaves","Darjeeling",137,"Wisconsin",40,"Regular"
240,2012-02-01,"Central","Leaves","Earl Grey",534,"Iowa",125,"Regular"
65,2012-02-01,"Central","Leaves","Earl Grey",155,"Wisconsin",87,"Regular"
50,2012-02-01,"East","Leaves","Darjeeling",123,"Connecticut",25,"Regular"
18,2012-02-01,"East","Leaves","Darjeeling",45,"New Hampshire",16,"Regular"
27,2012-02-01,"East","Leaves","Green Tea",66,"Connecticut",18,"Regular"
0,2012-02-01,"East","Leaves","Green Tea",43,"New Hampshire",11,"Regular"
234,2012-02-01,"West","Leaves","Darjeeling",545,"Nevada",109,"Regular"
22,2012-02-01,"West","Leaves","Darjeeling",56,"Oregon",17,"Regular"
65,2012-02-01,"West","Leaves","Darjeeling",174,"Washington",43,"Regular"
228,2012-02-01,"West","Leaves","Earl Grey",457,"Nevada",87,"Regular"
80,2012-02-01,"West","Leaves","Earl Grey",200,"Oregon",58,"Regular"
35,2012-02-01,"West","Leaves","Earl Grey",82,"Utah",38,"Regular"
56,2012-02-01,"West","Leaves","Earl Grey",137,"Washington",40,"Regular"
86,2012-02-01,"West","Leaves","Green Tea",206,"Oregon",49,"Regular"
65,2012-02-01,"West","Leaves","Green Tea",155,"Washington",87,"Regular"
95,2012-03-01,"Central","Beans","Decaf Irish Cream",234,"Colorado",38,"Decaf"
109,2012-03-01,"Central","Beans","Decaf Irish Cream",267,"Illinois",56,"Decaf"
72,2012-03-01,"Central","Beans","Decaf Espresso",180,"Colorado",54,"Decaf"
239,2012-03-01,"Central","Beans","Decaf Espresso",478,"Illinois",91,"Decaf"
58,2012-03-01,"Central","Beans","Decaf Espresso",129,"Ohio",56,"Decaf"
89,2012-03-01,"East","Beans","Decaf Irish Cream",214,"Florida",51,"Decaf"
80,2012-03-01,"East","Beans","Decaf Espresso",188,"Florida",54,"Decaf"
84,2012-03-01,"South","Beans","Decaf Irish Cream",193,"Texas",39,"Decaf"
81,2012-03-01,"South","Beans","Decaf Espresso",198,"Texas",33,"Decaf"
243,2012-03-01,"West","Beans","Decaf Espresso",567,"California",113,"Decaf"
87,2012-03-01,"Central","Beans","Amaretto",213,"Colorado",36,"Regular"
57,2012-03-01,"Central","Beans","Amaretto",134,"Ohio",45,"Regular"
84,2012-03-01,"Central","Beans","Colombian",193,"Colorado",40,"Regular"
154,2012-03-01,"Central","Beans","Colombian",367,"Illinois",94,"Regular"
49,2012-03-01,"Central","Beans","Colombian",121,"Ohio",37,"Regular"
81,2012-03-01,"Central","Beans","Caffe Mocha",198,"Colorado",33,"Regular"
243,2012-03-01,"Central","Beans","Caffe Mocha",567,"Illinois",113,"Regular"
162,2012-03-01,"Central","Beans","Caffe Mocha",325,"Ohio",69,"Regular"
84,2012-03-01,"East","Beans","Colombian",210,"Florida",59,"Regular"
72,2012-03-01,"East","Beans","Colombian",492,"Massachusetts",54,"Regular"
270,2012-03-01,"East","Beans","Colombian",675,"New York",146,"Regular"
95,2012-03-01,"East","Beans","Caffe Mocha",227,"Florida",115,"Regular"
162,2012-03-01,"East","Beans","Regular Espresso",325,"Massachusetts",69,"Regular"
239,2012-03-01,"East","Beans","Regular Espresso",523,"New York",90,"Regular"
214,2012-03-01,"South","Beans","Colombian",467,"Texas",87,"Regular"
72,2012-03-01,"South","Beans","Caffe Latte",180,"Texas",54,"Regular"
87,2012-03-01,"South","Beans","Caffe Mocha",213,"Texas",35,"Regular"
270,2012-03-01,"West","Beans","Colombian",675,"California",146,"Regular"
239,2012-03-01,"West","Beans","Caffe Latte",478,"California",90,"Regular"
125,2012-03-01,"West","Beans","Caffe Mocha",298,"California",146,"Regular"
162,2012-03-01,"Central","Leaves","Chamomile",325,"Colorado",69,"Decaf"
87,2012-03-01,"Central","Leaves","Chamomile",213,"Illinois",35,"Decaf"
21,2012-03-01,"Central","Leaves","Chamomile",53,"Ohio",17,"Decaf"
84,2012-03-01,"Central","Leaves","Lemon",193,"Illinois",39,"Decaf"
32,2012-03-01,"Central","Leaves","Lemon",79,"Ohio",19,"Decaf"
57,2012-03-01,"Central","Leaves","Mint",134,"Colorado",46,"Decaf"
95,2012-03-01,"Central","Leaves","Mint",234,"Illinois",37,"Decaf"
